stop_id,line_id,machine_id,stop_type,start_time,end_time,duration_minutes,description,operator,resolved
55,L3,M3-1,Reglage,2024-01-04 16:47:01.240844,2024-01-04 17:12:01.240844,25,Reglage sur M3-1,OP7,True
56,L3,M3-1,Attente_Materiel,2024-01-04 09:01:01.240844,2024-01-04 10:00:01.240844,59,Attente_Materiel sur M3-1,OP11,True
57,L3,M3-1,Bourrage,2024-01-04 13:09:01.240844,2024-01-04 13:21:01.240844,12,Bourrage sur M3-1,OP8,True
58,L3,M3-2,Bourrage,2024-01-04 12:07:01.240844,2024-01-04 12:31:01.240844,24,Bourrage sur M3-2,OP13,True
59,L3,M3-2,Panne_Mecanique,2024-01-04 10:49:01.240844,2024-01-04 11:59:01.240844,70,Panne_Mecanique sur M3-2,OP1,True
60,L3,M3-1,Probleme_Qualite,2024-01-04 11:18:01.240844,2024-01-04 11:39:01.240844,21,Probleme_Qualite sur M3-1,OP14,True
61,L3,M3-2,Panne_Electrique,2024-01-04 11:49:01.240844,2024-01-04 12:52:01.240844,63,Panne_Electrique sur M3-2,OP10,True
62,L3,M3-1,Bourrage,2024-01-04 04:55:01.240844,2024-01-04 05:16:01.240844,21,Bourrage sur M3-1,OP9,True
63,L1,M1-3,Changement_Format,2024-01-05 10:22:01.240844,2024-01-05 11:21:01.240844,59,Changement_Format sur M1-3,OP8,True
64,L1,M1-2,Attente_Operateur,2024-01-05 10:37:01.240844,2024-01-05 10:55:01.240844,18,Attente_Operateur sur M1-2,OP14,True
65,L1,M1-3,Attente_Operateur,2024-01-05 17:12:01.240844,2024-01-05 17:35:01.240844,23,Attente_Operateur sur M1-3,OP6,True
66,L1,M1-1,Panne_Mecanique,2024-01-05 05:25:01.240844,2024-01-05 06:16:01.240844,51,Panne_Mecanique sur M1-1,OP12,True
67,L1,M1-1,Probleme_Qualite,2024-01-05 10:28:01.240844,2024-01-05 11:47:01.240844,79,Probleme_Qualite sur M1-1,OP7,True
68,L1,M1-3,Reglage,2024-01-05 10:06:01.240844,2024-01-05 10:23:01.240844,17,Reglage sur M1-3,OP10,True
69,L1,M1-2,Reglage,2024-01-05 13:30:01.240844,2024-01-05 13:59:01.240844,29,Reglage sur M1-2,OP8,True
70,L2,M2-2,Changement_Format,2024-01-05 11:08:01.240844,2024-01-05 12:52:01.240844,104,Changement_Format sur M2-2,OP8,True
71,L2,M2-3,Reglage,2024-01-05 09:31:01.240844,2024-01-05 09:55:01.240844,24,Reglage sur M2-3,OP4,True
72,L2,M2-3,Bourrage,2024-01-05 10:28:01.240844,2024-01-05 10:40:01.240844,12,Bourrage sur M2-3,OP2,True
73,L2,M2-1,Nettoyage,2024-01-05 15:32:01.240844,2024-01-05 16:08:01.240844,36,Nettoyage sur M2-1,OP2,True
74,L2,M2-2,Changement_Format,2024-01-05 14:45:01.240844,2024-01-05 15:45:01.240844,60,Changement_Format sur M2-2,OP10,True
75,L2,M2-3,Attente_Operateur,2024-01-05 13:45:01.240844,2024-01-05 14:09:01.240844,24,Attente_Operateur sur M2-3,OP7,True
76,L2,M2-1,Bourrage,2024-01-05 04:35:01.240844,2024-01-05 04:42:01.240844,7,Bourrage sur M2-1,OP4,True
77,L2,M2-4,Attente_Materiel,2024-01-05 18:27:01.240844,2024-01-05 19:17:01.240844,50,Attente_Materiel sur M2-4,OP9,True
78,L2,M2-1,Bourrage,2024-01-05 06:59:01.240844,2024-01-05 07:22:01.240844,23,Bourrage sur M2-1,OP14,True
79,L2,M2-2,Reglage,2024-01-05 15:26:01.240844,2024-01-05 15:47:01.240844,21,Reglage sur M2-2,OP1,True
80,L2,M2-2,Nettoyage,2024-01-05 19:19:01.240844,2024-01-05 19:52:01.240844,33,Nettoyage sur M2-2,OP5,True
81,L2,M2-2,Maintenance_Preventive,2024-01-05 17:34:01.240844,2024-01-05 21:13:01.240844,219,Maintenance_Preventive sur M2-2,OP6,True
82,L2,M2-3,Bourrage,2024-01-05 07:25:01.240844,2024-01-05 07:32:01.240844,7,Bourrage sur M2-3,OP2,True
83,L2,M2-1,Maintenance_Preventive,2024-01-05 16:16:01.240844,2024-01-05 18:59:01.240844,163,Maintenance_Preventive sur M2-1,OP12,True
84,L3,M3-1,Panne_Electrique,2024-01-05 06:13:01.240844,2024-01-05 06:54:01.240844,41,Panne_Electrique sur M3-1,OP2,True
85,L3,M3-1,Panne_Mecanique,2024-01-05 05:32:01.240844,2024-01-05 08:15:01.240844,163,Panne_Mecanique sur M3-1,OP7,True
86,L3,M3-2,Maintenance_Preventive,2024-01-05 19:57:01.240844,2024-01-05 21:28:01.240844,91,Maintenance_Preventive sur M3-2,OP6,True
87,L3,M3-1,Nettoyage,2024-01-05 11:58:01.240844,2024-01-05 12:31:01.240844,33,Nettoyage sur M3-1,OP11,True
88,L3,M3-2,Nettoyage,2024-01-05 06:38:01.240844,2024-01-05 07:00:01.240844,22,Nettoyage sur M3-2,OP4,True
89,L3,M3-1,Maintenance_Preventive,2024-01-05 08:33:01.240844,2024-01-05 10:57:01.240844,144,Maintenance_Preventive sur M3-1,OP6,True
90,L3,M3-1,Probleme_Qualite,2024-01-05 09:09:01.240844,2024-01-05 10:40:01.240844,91,Probleme_Qualite sur M3-1,OP14,True
91,L3,M3-2,Maintenance_Preventive,2024-01-05 06:26:01.240844,2024-01-05 07:32:01.240844,66,Maintenance_Preventive sur M3-2,OP8,True
92,L3,M3-2,Attente_Materiel,2024-01-05 04:32:01.240844,2024-01-05 04:49:01.240844,17,Attente_Materiel sur M3-2,OP9,True
93,L3,M3-2,Changement_Format,2024-01-05 05:32:01.240844,2024-01-05 06:26:01.240844,54,Changement_Format sur M3-2,OP5,True
94,L1,M1-1,Changement_Format,2024-01-06 16:57:01.240844,2024-01-06 18:24:01.240844,87,Changement_Format sur M1-1,OP8,True
95,L1,M1-2,Probleme_Qualite,2024-01-06 15:27:01.240844,2024-01-06 17:13:01.240844,106,Probleme_Qualite sur M1-2,OP11,True
96,L1,M1-3,Attente_Materiel,2024-01-06 13:53:01.240844,2024-01-06 14:38:01.240844,45,Attente_Materiel sur M1-3,OP5,True
97,L1,M1-1,Attente_Operateur,2024-01-06 11:25:01.240844,2024-01-06 11:53:01.240844,28,Attente_Operateur sur M1-1,OP9,True
98,L1,M1-1,Changement_Format,2024-01-06 17:23:01.240844,2024-01-06 19:05:01.240844,102,Changement_Format sur M1-1,OP6,True
99,L1,M1-3,Panne_Mecanique,2024-01-06 10:00:01.240844,2024-01-06 10:29:01.240844,29,Panne_Mecanique sur M1-3,OP3,True
100,L1,M1-3,Panne_Electrique,2024-01-06 17:27:01.240844,2024-01-06 18:13:01.240844,46,Panne_Electrique sur M1-3,OP9,True
101,L1,M1-2,Panne_Electrique,2024-01-06 09:15:01.240844,2024-01-06 09:26:01.240844,11,Panne_Electrique sur M1-2,OP14,True
102,L1,M1-1,Nettoyage,2024-01-06 16:13:01.240844,2024-01-06 16:55:01.240844,42,Nettoyage sur M1-1,OP12,True
103,L1,M1-3,Probleme_Qualite,2024-01-06 07:22:01.240844,2024-01-06 08:28:01.240844,66,Probleme_Qualite sur M1-3,OP3,True
104,L2,M2-3,Panne_Mecanique,2024-01-06 18:43:01.240844,2024-01-06 19:28:01.240844,45,Panne_Mecanique sur M2-3,OP11,True
105,L2,M2-2,Attente_Operateur,2024-01-06 10:36:01.240844,2024-01-06 11:00:01.240844,24,Attente_Operateur sur M2-2,OP6,True
106,L2,M2-4,Attente_Operateur,2024-01-06 17:59:01.240844,2024-01-06 18:24:01.240844,25,Attente_Operateur sur M2-4,OP3,True
107,L2,M2-1,Probleme_Qualite,2024-01-06 05:55:01.240844,2024-01-06 06:43:01.240844,48,Probleme_Qualite sur M2-1,OP4,True
108,L2,M2-3,Panne_Electrique,2024-01-06 04:20:01.240844,2024-01-06 04:51:01.240844,31,Panne_Electrique sur M2-3,OP6,True
109,L3,M3-1,Panne_Electrique,2024-01-06 10:57:01.240844,2024-01-06 12:08:01.240844,71,Panne_Electrique sur M3-1,OP7,True
110,L3,M3-1,Maintenance_Preventive,2024-01-06 07:31:01.240844,2024-01-06 09:22:01.240844,111,Maintenance_Preventive sur M3-1,OP7,True
111,L3,M3-2,Attente_Materiel,2024-01-06 19:38:01.240844,2024-01-06 19:51:01.240844,13,Attente_Materiel sur M3-2,OP1,True
112,L3,M3-2,Probleme_Qualite,2024-01-06 11:48:01.240844,2024-01-06 12:05:01.240844,17,Probleme_Qualite sur M3-2,OP1,True
113,L1,M1-2,Probleme_Qualite,2024-01-09 04:36:01.240844,2024-01-09 05:59:01.240844,83,Probleme_Qualite sur M1-2,OP12,True
114,L1,M1-2,Changement_Format,2024-01-09 09:57:01.240844,2024-01-09 11:07:01.240844,70,Changement_Format sur M1-2,OP9,True
115,L1,M1-2,Panne_Electrique,2024-01-09 09:42:01.240844,2024-01-09 10:47:01.240844,65,Panne_Electrique sur M1-2,OP11,True
116,L1,M1-1,Panne_Mecanique,2024-01-09 08:03:01.240844,2024-01-09 10:45:01.240844,162,Panne_Mecanique sur M1-1,OP2,True
117,L1,M1-1,Maintenance_Preventive,2024-01-09 17:17:01.240844,2024-01-09 18:36:01.240844,79,Maintenance_Preventive sur M1-1,OP9,True
118,L2,M2-1,Maintenance_Preventive,2024-01-09 16:38:01.240844,2024-01-09 19:50:01.240844,192,Maintenance_Preventive sur M2-1,OP1,True
119,L2,M2-3,Attente_Materiel,2024-01-09 08:35:01.240844,2024-01-09 08:59:01.240844,24,Attente_Materiel sur M2-3,OP5,True
120,L2,M2-2,Panne_Mecanique,2024-01-09 12:33:01.240844,2024-01-09 15:10:01.240844,157,Panne_Mecanique sur M2-2,OP10,True
121,L2,M2-4,Attente_Operateur,2024-01-09 13:05:01.240844,2024-01-09 13:17:01.240844,12,Attente_Operateur sur M2-4,OP8,True
122,L2,M2-3,Changement_Format,2024-01-09 08:39:01.240844,2024-01-09 09:17:01.240844,38,Changement_Format sur M2-3,OP9,True
123,L2,M2-2,Attente_Materiel,2024-01-09 08:28:01.240844,2024-01-09 09:23:01.240844,55,Attente_Materiel sur M2-2,OP4,True
124,L2,M2-2,Bourrage,2024-01-09 13:37:01.240844,2024-01-09 13:50:01.240844,13,Bourrage sur M2-2,OP5,True
125,L2,M2-2,Attente_Materiel,2024-01-09 07:00:01.240844,2024-01-09 07:31:01.240844,31,Attente_Materiel sur M2-2,OP5,True
126,L3,M3-1,Nettoyage,2024-01-09 10:38:01.240844,2024-01-09 10:55:01.240844,17,Nettoyage sur M3-1,OP8,True
127,L3,M3-2,Panne_Mecanique,2024-01-09 19:28:01.240844,2024-01-09 21:00:01.240844,92,Panne_Mecanique sur M3-2,OP2,True
128,L3,M3-2,Attente_Operateur,2024-01-09 15:57:01.240844,2024-01-09 16:06:01.240844,9,Attente_Operateur sur M3-2,OP1,True
129,L3,M3-2,Panne_Electrique,2024-01-09 07:38:01.240844,2024-01-09 08:31:01.240844,53,Panne_Electrique sur M3-2,OP9,True
130,L1,M1-1,Reglage,2024-01-10 11:26:01.240844,2024-01-10 11:41:01.240844,15,Reglage sur M1-1,OP10,True
131,L1,M1-1,Nettoyage,2024-01-10 08:07:01.240844,2024-01-10 08:45:01.240844,38,Nettoyage sur M1-1,OP10,True
132,L1,M1-3,Probleme_Qualite,2024-01-10 17:56:01.240844,2024-01-10 19:02:01.240844,66,Probleme_Qualite sur M1-3,OP9,True
133,L1,M1-1,Changement_Format,2024-01-10 07:02:01.240844,2024-01-10 08:28:01.240844,86,Changement_Format sur M1-1,OP2,True
134,L1,M1-3,Reglage,2024-01-10 05:16:01.240844,2024-01-10 05:43:01.240844,27,Reglage sur M1-3,OP7,True
135,L1,M1-2,Panne_Mecanique,2024-01-10 04:43:01.240844,2024-01-10 06:28:01.240844,105,Panne_Mecanique sur M1-2,OP11,True
136,L2,M2-3,Panne_Mecanique,2024-01-10 20:15:01.240844,2024-01-10 21:24:01.240844,69,Panne_Mecanique sur M2-3,OP10,True
137,L2,M2-1,Bourrage,2024-01-10 18:25:01.240844,2024-01-10 18:42:01.240844,17,Bourrage sur M2-1,OP13,True
138,L2,M2-1,Panne_Mecanique,2024-01-10 11:35:01.240844,2024-01-10 12:58:01.240844,83,Panne_Mecanique sur M2-1,OP12,True
139,L2,M2-4,Probleme_Qualite,2024-01-10 10:03:01.240844,2024-01-10 11:47:01.240844,104,Probleme_Qualite sur M2-4,OP1,True
140,L2,M2-1,Changement_Format,2024-01-10 06:48:01.240844,2024-01-10 08:04:01.240844,76,Changement_Format sur M2-1,OP2,True
141,L2,M2-4,Attente_Operateur,2024-01-10 09:22:01.240844,2024-01-10 09:41:01.240844,19,Attente_Operateur sur M2-4,OP6,True
142,L2,M2-1,Maintenance_Preventive,2024-01-10 07:02:01.240844,2024-01-10 09:02:01.240844,120,Maintenance_Preventive sur M2-1,OP2,True
143,L2,M2-4,Reglage,2024-01-10 05:13:01.240844,2024-01-10 05:28:01.240844,15,Reglage sur M2-4,OP1,True
144,L2,M2-4,Reglage,2024-01-10 19:07:01.240844,2024-01-10 19:13:01.240844,6,Reglage sur M2-4,OP9,True
145,L2,M2-4,Probleme_Qualite,2024-01-10 04:47:01.240844,2024-01-10 06:27:01.240844,100,Probleme_Qualite sur M2-4,OP11,True
146,L3,M3-2,Reglage,2024-01-10 06:25:01.240844,2024-01-10 06:31:01.240844,6,Reglage sur M3-2,OP12,True
147,L3,M3-2,Changement_Format,2024-01-10 13:48:01.240844,2024-01-10 14:45:01.240844,57,Changement_Format sur M3-2,OP7,True
148,L3,M3-1,Changement_Format,2024-01-10 10:13:01.240844,2024-01-10 10:52:01.240844,39,Changement_Format sur M3-1,OP7,True
149,L3,M3-2,Panne_Electrique,2024-01-10 16:49:01.240844,2024-01-10 17:21:01.240844,32,Panne_Electrique sur M3-2,OP11,True
150,L3,M3-2,Attente_Materiel,2024-01-10 09:30:01.240844,2024-01-10 10:07:01.240844,37,Attente_Materiel sur M3-2,OP7,True
151,L3,M3-2,Maintenance_Preventive,2024-01-10 08:32:01.240844,2024-01-10 10:44:01.240844,132,Maintenance_Preventive sur M3-2,OP12,True
152,L3,M3-2,Attente_Materiel,2024-01-10 11:02:01.240844,2024-01-10 11:19:01.240844,17,Attente_Materiel sur M3-2,OP5,True
153,L3,M3-2,Nettoyage,2024-01-10 17:40:01.240844,2024-01-10 17:57:01.240844,17,Nettoyage sur M3-2,OP4,True
154,L3,M3-2,Attente_Materiel,2024-01-10 12:56:01.240844,2024-01-10 13:45:01.240844,49,Attente_Materiel sur M3-2,OP8,True
155,L1,M1-1,Maintenance_Preventive,2024-01-11 07:19:01.240844,2024-01-11 09:21:01.240844,122,Maintenance_Preventive sur M1-1,OP4,True
156,L1,M1-2,Bourrage,2024-01-11 16:10:01.240844,2024-01-11 16:21:01.240844,11,Bourrage sur M1-2,OP7,True
157,L1,M1-3,Bourrage,2024-01-11 10:14:01.240844,2024-01-11 10:37:01.240844,23,Bourrage sur M1-3,OP12,True
158,L1,M1-1,Changement_Format,2024-01-11 15:53:01.240844,2024-01-11 16:52:01.240844,59,Changement_Format sur M1-1,OP1,True
159,L1,M1-1,Panne_Electrique,2024-01-11 19:25:01.240844,2024-01-11 20:30:01.240844,65,Panne_Electrique sur M1-1,OP1,True
160,L1,M1-3,Attente_Operateur,2024-01-11 09:48:01.240844,2024-01-11 09:55:01.240844,7,Attente_Operateur sur M1-3,OP12,True
161,L2,M2-4,Panne_Mecanique,2024-01-11 07:11:01.240844,2024-01-11 09:27:01.240844,136,Panne_Mecanique sur M2-4,OP2,True
162,L2,M2-1,Nettoyage,2024-01-11 16:29:01.240844,2024-01-11 16:56:01.240844,27,Nettoyage sur M2-1,OP12,True
163,L2,M2-3,Panne_Electrique,2024-01-11 15:56:01.240844,2024-01-11 17:09:01.240844,73,Panne_Electrique sur M2-3,OP2,True
164,L2,M2-3,Panne_Electrique,2024-01-11 08:30:01.240844,2024-01-11 09:21:01.240844,51,Panne_Electrique sur M2-3,OP10,True
165,L2,M2-2,Panne_Mecanique,2024-01-11 17:11:01.240844,2024-01-11 20:08:01.240844,177,Panne_Mecanique sur M2-2,OP1,True
166,L2,M2-4,Maintenance_Preventive,2024-01-11 17:14:01.240844,2024-01-11 20:34:01.240844,200,Maintenance_Preventive sur M2-4,OP2,True
167,L2,M2-1,Attente_Materiel,2024-01-11 10:24:01.240844,2024-01-11 10:58:01.240844,34,Attente_Materiel sur M2-1,OP5,True
168,L2,M2-3,Panne_Electrique,2024-01-11 08:10:01.240844,2024-01-11 08:38:01.240844,28,Panne_Electrique sur M2-3,OP11,True
169,L3,M3-2,Attente_Operateur,2024-01-11 19:39:01.240844,2024-01-11 19:57:01.240844,18,Attente_Operateur sur M3-2,OP11,True
170,L3,M3-1,Reglage,2024-01-11 06:33:01.240844,2024-01-11 06:50:01.240844,17,Reglage sur M3-1,OP3,True
171,L3,M3-2,Panne_Electrique,2024-01-11 07:38:01.240844,2024-01-11 08:44:01.240844,66,Panne_Electrique sur M3-2,OP4,True
172,L3,M3-2,Attente_Operateur,2024-01-11 08:19:01.240844,2024-01-11 08:28:01.240844,9,Attente_Operateur sur M3-2,OP3,True
173,L1,M1-2,Panne_Mecanique,2024-01-12 17:43:01.240844,2024-01-12 20:06:01.240844,143,Panne_Mecanique sur M1-2,OP12,True
174,L1,M1-3,Panne_Mecanique,2024-01-12 15:49:01.240844,2024-01-12 17:00:01.240844,71,Panne_Mecanique sur M1-3,OP6,True
175,L1,M1-2,Changement_Format,2024-01-12 17:52:01.240844,2024-01-12 18:39:01.240844,47,Changement_Format sur M1-2,OP13,True
176,L1,M1-1,Changement_Format,2024-01-12 16:05:01.240844,2024-01-12 16:49:01.240844,44,Changement_Format sur M1-1,OP14,True
177,L1,M1-2,Nettoyage,2024-01-12 10:59:01.240844,2024-01-12 11:35:01.240844,36,Nettoyage sur M1-2,OP10,True
178,L1,M1-3,Attente_Materiel,2024-01-12 13:03:01.240844,2024-01-12 13:32:01.240844,29,Attente_Materiel sur M1-3,OP3,True
179,L2,M2-1,Reglage,2024-01-12 04:32:01.240844,2024-01-12 04:38:01.240844,6,Reglage sur M2-1,OP14,True
180,L2,M2-2,Panne_Mecanique,2024-01-12 16:53:01.240844,2024-01-12 17:43:01.240844,50,Panne_Mecanique sur M2-2,OP8,True
181,L2,M2-4,Bourrage,2024-01-12 16:34:01.240844,2024-01-12 16:42:01.240844,8,Bourrage sur M2-4,OP9,True
182,L2,M2-4,Reglage,2024-01-12 12:55:01.240844,2024-01-12 13:08:01.240844,13,Reglage sur M2-4,OP7,True
183,L2,M2-1,Maintenance_Preventive,2024-01-12 07:46:01.240844,2024-01-12 08:57:01.240844,71,Maintenance_Preventive sur M2-1,OP5,True
184,L2,M2-3,Maintenance_Preventive,2024-01-12 04:43:01.240844,2024-01-12 08:09:01.240844,206,Maintenance_Preventive sur M2-3,OP5,True
185,L2,M2-1,Panne_Electrique,2024-01-12 12:25:01.240844,2024-01-12 13:46:01.240844,81,Panne_Electrique sur M2-1,OP9,True
186,L3,M3-1,Nettoyage,2024-01-12 20:18:01.240844,2024-01-12 20:44:01.240844,26,Nettoyage sur M3-1,OP13,True
187,L3,M3-1,Attente_Materiel,2024-01-12 11:26:01.240844,2024-01-12 12:07:01.240844,41,Attente_Materiel sur M3-1,OP2,True
188,L3,M3-1,Bourrage,2024-01-12 18:05:01.240844,2024-01-12 18:15:01.240844,10,Bourrage sur M3-1,OP13,True
189,L3,M3-1,Probleme_Qualite,2024-01-12 17:51:01.240844,2024-01-12 19:45:01.240844,114,Probleme_Qualite sur M3-1,OP1,True
190,L3,M3-1,Attente_Materiel,2024-01-12 05:43:01.240844,2024-01-12 06:23:01.240844,40,Attente_Materiel sur M3-1,OP4,True
